Language Task Size Select_size Model Metric Value
btz surSeg 1500 300 transformer f1 0.2587
btz surSeg 1500 325 transformer precision 0.26965
btz surSeg 1500 325 transformer recall 0.2556
btz surSeg 1500 325 transformer f1 0.2586833333333333
btz surSeg 1500 350 transformer precision 0.26158333333333333
btz surSeg 1500 350 transformer recall 0.25780000000000003
btz surSeg 1500 350 transformer f1 0.25583333333333336
btz surSeg 1500 375 transformer precision 0.28995
btz surSeg 1500 375 transformer recall 0.26658333333333334
btz surSeg 1500 375 transformer f1 0.27376666666666666
btz surSeg 1500 400 transformer precision 0.27531666666666665
btz surSeg 1500 400 transformer recall 0.25379999999999997
btz surSeg 1500 400 transformer f1 0.26075
btz surSeg 1500 425 transformer precision 0.2846
btz surSeg 1500 425 transformer recall 0.2608666666666667
btz surSeg 1500 425 transformer f1 0.2683666666666667
btz surSeg 1500 450 transformer precision 0.2781666666666667
btz surSeg 1500 450 transformer recall 0.2572333333333333
btz surSeg 1500 450 transformer f1 0.26345
btz surSeg 1500 475 transformer precision 0.2908833333333333
btz surSeg 1500 475 transformer recall 0.2731
btz surSeg 1500 475 transformer f1 0.27705
btz surSeg 1500 500 transformer precision 0.2831
btz surSeg 1500 500 transformer recall 0.27426666666666666
btz surSeg 1500 500 transformer f1 0.2749833333333333
btz surSeg 1500 525 transformer precision 0.29181666666666667
btz surSeg 1500 525 transformer recall 0.28656666666666664
btz surSeg 1500 525 transformer f1 0.2857166666666667
btz surSeg 1500 550 transformer precision 0.2754833333333333
btz surSeg 1500 550 transformer recall 0.27076666666666666
btz surSeg 1500 550 transformer f1 0.269
btz surSeg 1500 575 transformer precision 0.2852166666666667
btz surSeg 1500 575 transformer recall 0.27331666666666665
btz surSeg 1500 575 transformer f1 0.2753
btz surSeg 1500 600 transformer precision 0.28828333333333334
btz surSeg 1500 600 transformer recall 0.27936666666666665
btz surSeg 1500 600 transformer f1 0.2808333333333333
btz surSeg 1500 625 transformer precision 0.27415
btz surSeg 1500 625 transformer recall 0.2635166666666667
btz surSeg 1500 625 transformer f1 0.26585
btz surSeg 1500 650 transformer precision 0.28091666666666665
btz surSeg 1500 650 transformer recall 0.27155
btz surSeg 1500 650 transformer f1 0.27315
btz surSeg 1500 675 transformer precision 0.28353333333333336
btz surSeg 1500 675 transformer recall 0.2689666666666667
btz surSeg 1500 675 transformer f1 0.27313333333333334
btz surSeg 1500 700 transformer precision 0.27423333333333333
btz surSeg 1500 700 transformer recall 0.26134999999999997
btz surSeg 1500 700 transformer f1 0.2643
btz surSeg 1500 725 transformer precision 0.28991666666666666
btz surSeg 1500 725 transformer recall 0.2737833333333333
btz surSeg 1500 725 transformer f1 0.2783
btz surSeg 1500 750 transformer precision 0.2919833333333334
btz surSeg 1500 750 transformer recall 0.28141666666666665
btz surSeg 1500 750 transformer f1 0.28223333333333334
btz surSeg 1500 775 transformer precision 0.2979
btz surSeg 1500 775 transformer recall 0.28005
btz surSeg 1500 775 transformer f1 0.2843
btz surSeg 1500 800 transformer precision 0.2979
btz surSeg 1500 800 transformer recall 0.28005
btz surSeg 1500 800 transformer f1 0.2843
btz surSeg 1500 825 transformer precision 0.2979
btz surSeg 1500 825 transformer recall 0.28005
btz surSeg 1500 825 transformer f1 0.2843
btz surSeg 1500 850 transformer precision 0.2979
btz surSeg 1500 850 transformer recall 0.28005
btz surSeg 1500 850 transformer f1 0.2843
btz surSeg 1500 875 transformer precision 0.2979
btz surSeg 1500 875 transformer recall 0.28005
btz surSeg 1500 875 transformer f1 0.2843
btz surSeg 1500 900 transformer precision 0.2979
btz surSeg 1500 900 transformer recall 0.28005
btz surSeg 1500 900 transformer f1 0.2843
btz surSeg 1500 925 transformer precision 0.2979
btz surSeg 1500 925 transformer recall 0.28005
btz surSeg 1500 925 transformer f1 0.2843
btz surSeg 2000 0 transformer precision 0.26985000000000003
btz surSeg 2000 0 transformer recall 0.25555
btz surSeg 2000 0 transformer f1 0.2586833333333334
btz surSeg 2000 25 transformer precision 0.26933333333333337
btz surSeg 2000 25 transformer recall 0.24973333333333333
btz surSeg 2000 25 transformer f1 0.25503333333333333
btz surSeg 2000 50 transformer precision 0.25973333333333337
btz surSeg 2000 50 transformer recall 0.22571666666666668
btz surSeg 2000 50 transformer f1 0.23705
btz surSeg 2000 75 transformer precision 0.2653833333333333
btz surSeg 2000 75 transformer recall 0.2594
btz surSeg 2000 75 transformer f1 0.25780000000000003
btz surSeg 2000 100 transformer precision 0.26243333333333335
btz surSeg 2000 100 transformer recall 0.2547833333333333
btz surSeg 2000 100 transformer f1 0.25495
btz surSeg 2000 125 transformer precision 0.26421666666666666
btz surSeg 2000 125 transformer recall 0.2549
btz surSeg 2000 125 transformer f1 0.2558666666666667
btz surSeg 2000 150 transformer precision 0.28403333333333336
btz surSeg 2000 150 transformer recall 0.2661833333333333
btz surSeg 2000 150 transformer f1 0.2702833333333333
btz surSeg 2000 175 transformer precision 0.283
btz surSeg 2000 175 transformer recall 0.26448333333333335
btz surSeg 2000 175 transformer f1 0.26881666666666665
btz surSeg 2000 200 transformer precision 0.2969333333333333
btz surSeg 2000 200 transformer recall 0.28986666666666666
btz surSeg 2000 200 transformer f1 0.28876666666666667
btz surSeg 2000 225 transformer precision 0.2968
btz surSeg 2000 225 transformer recall 0.27935
btz surSeg 2000 225 transformer f1 0.28358333333333335
