Language Task Size Select_size Model Metric Value
btz surSeg 100 375 transformer precision 0.10233333333333333
btz surSeg 100 375 transformer recall 0.0978
btz surSeg 100 375 transformer f1 0.09731666666666668
btz surSeg 100 400 transformer precision 0.07408333333333333
btz surSeg 100 400 transformer recall 0.06826666666666667
btz surSeg 100 400 transformer f1 0.06960000000000001
btz surSeg 100 425 transformer precision 0.09073333333333333
btz surSeg 100 425 transformer recall 0.0849
btz surSeg 100 425 transformer f1 0.08535
btz surSeg 100 450 transformer precision 0.10708333333333334
btz surSeg 100 450 transformer recall 0.09475
btz surSeg 100 450 transformer f1 0.09721666666666667
btz surSeg 100 475 transformer precision 0.08856666666666667
btz surSeg 100 475 transformer recall 0.07968333333333333
btz surSeg 100 475 transformer f1 0.08156666666666666
btz surSeg 100 500 transformer precision 0.08016666666666666
btz surSeg 100 500 transformer recall 0.07405
btz surSeg 100 500 transformer f1 0.07518333333333334
btz surSeg 100 525 transformer precision 0.08568333333333333
btz surSeg 100 525 transformer recall 0.08141666666666666
btz surSeg 100 525 transformer f1 0.08076666666666667
btz surSeg 100 550 transformer precision 0.1032
btz surSeg 100 550 transformer recall 0.09881666666666666
btz surSeg 100 550 transformer f1 0.09851666666666667
btz surSeg 100 575 transformer precision 0.09101666666666666
btz surSeg 100 575 transformer recall 0.08008333333333334
btz surSeg 100 575 transformer f1 0.08170000000000001
btz surSeg 100 600 transformer precision 0.09661666666666667
btz surSeg 100 600 transformer recall 0.08743333333333334
btz surSeg 100 600 transformer f1 0.0889
btz surSeg 100 625 transformer precision 0.0846
btz surSeg 100 625 transformer recall 0.08336666666666667
btz surSeg 100 625 transformer f1 0.082
btz surSeg 100 650 transformer precision 0.0772
btz surSeg 100 650 transformer recall 0.06871666666666668
btz surSeg 100 650 transformer f1 0.07083333333333333
btz surSeg 100 675 transformer precision 0.07506666666666667
btz surSeg 100 675 transformer recall 0.0763
btz surSeg 100 675 transformer f1 0.07408333333333333
btz surSeg 100 700 transformer precision 0.09121666666666667
btz surSeg 100 700 transformer recall 0.08596666666666666
btz surSeg 100 700 transformer f1 0.08623333333333334
btz surSeg 100 725 transformer precision 0.10366666666666667
btz surSeg 100 725 transformer recall 0.09613333333333333
btz surSeg 100 725 transformer f1 0.09758333333333334
btz surSeg 100 750 transformer precision 0.10661666666666667
btz surSeg 100 750 transformer recall 0.10336666666666666
btz surSeg 100 750 transformer f1 0.10236666666666668
btz surSeg 100 775 transformer precision 0.07988333333333333
btz surSeg 100 775 transformer recall 0.07153333333333334
btz surSeg 100 775 transformer f1 0.07323333333333333
btz surSeg 100 800 transformer precision 0.0833
btz surSeg 100 800 transformer recall 0.07326666666666667
btz surSeg 100 800 transformer f1 0.07645
btz surSeg 100 825 transformer precision 0.089
btz surSeg 100 825 transformer recall 0.08193333333333334
btz surSeg 100 825 transformer f1 0.08236666666666667
btz surSeg 100 850 transformer precision 0.09501666666666667
btz surSeg 100 850 transformer recall 0.08766666666666667
btz surSeg 100 850 transformer f1 0.08906666666666667
btz surSeg 100 875 transformer precision 0.08833333333333333
btz surSeg 100 875 transformer recall 0.08111666666666667
btz surSeg 100 875 transformer f1 0.08310000000000001
btz surSeg 100 900 transformer precision 0.10031666666666667
btz surSeg 100 900 transformer recall 0.09116666666666667
btz surSeg 100 900 transformer f1 0.09315
btz surSeg 100 925 transformer precision 0.08211666666666667
btz surSeg 100 925 transformer recall 0.08126666666666667
btz surSeg 100 925 transformer f1 0.07946666666666667
btz surSeg 100 950 transformer precision 0.11611666666666667
btz surSeg 100 950 transformer recall 0.11075
